Nature of Offense,Incident Location,City,State,Country
Theft,300 19th Ave S,Minneapolis,Minnesota,United States of America
Theft,300 19th Ave S,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Assault,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Assault,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,301 19th Ave S,Minneapolis,Minnesota,United States of America
Theft,308 Harvard St SE,Minneapolis,Minnesota,United States of America
Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America
Assault,309 Cedar Ave S,Minneapolis,Minnesota,United States of America
Theft,312 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,312 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,312 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,315 19th Ave SE,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct - Rape,315 Pillsbury Dr SE,Minneapolis,Minnesota,United States of America
Theft,317 17th Ave SE,Minneapolis,Minnesota,United States of America
Stalking,317 17th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,319 15th Ave SE,Minneapolis,Minnesota,United States of America
Assault,320 Cedar Ave S,Minneapolis,Minnesota,United States of America
Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America
Theft from Person,321 19th Ave S,Minneapolis,Minnesota,United States of America
Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,321 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,321 S 19th Ave,Minneapolis,Minnesota,United States of America
Bike Theft,324 Harvard St SE,Minneapolis,Minnesota,United States of America
Theft,326 16th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America
Assault,326 17th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,326 27th Ave SE,Minneapolis,Minnesota,United States of America
Assault,400 21st Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,400 21st Ave S,Minneapolis,Minnesota,United States of America
Theft,401 Oak St SE,Minneapolis,Minnesota,United States of America
Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Stalking x2,412 22nd Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,417 Walnut St SE,Minneapolis,Minnesota,United States of America
Bike Theft,417 Walnut St SE,Minneapolis,Minnesota,United States of America
Theft,417 Walnut St SE,Minneapolis,Minnesota,United States of America
Bike Theft,417 Walnut St SE,Minneapolis,Minnesota,United States of America
Bike Theft,418 21th Ave S,Minneapolis,Minnesota,United States of America
Theft,420 Delaware St SE,Minneapolis,Minnesota,United States of America
Theft,420 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,420 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,420 Washington Ave SE,Minneapolis,Minnesota,United States of America
Assault w/dangerous weapon,420 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,420 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,420 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,421 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,421 Washington Ave SE,Minneapolis,Minnesota,United States of America
Hit and Run with Injury,4th St SE / 17th Ave SE,Minneapolis,Minnesota,United States of America
Weapons Law Violation,500 Block of Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,500 Harvard St SE,Minneapolis,Minnesota,United States of America
Possession of Stolen Firearm / Unlawful,500 Harvard St SE,Minneapolis,Minnesota,United States of America
Theft,500 Harvard St SE,Minneapolis,Minnesota,United States of America
Assault,500 Harvard St SE,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct - Rape,500 Harvard St SE,Minneapolis,Minnesota,United States of America
Assault,500 Harvard St SE,Minneapolis,Minnesota,United States of America
Theft,500 Harvard St SE,Minneapolis,Minnesota,United States of America
Assault,500 Harvard St SE,Minneapolis,Minnesota,United States of America
Assault w/ Dangerous Weapon,500 Harvard St SE,Minneapolis,Minnesota,United States of America
Assault,500 Harvard St SE,Minneapolis,Minnesota,United States of America
Theft,500 Harvard St SE,Minneapolis,Minnesota,United States of America
Bike Theft,500 Harvard St SE,Minneapolis,Minnesota,United States of America
Theft,500 Harvard St SE,Minneapolis,Minnesota,United States of America
Theft,500 Pillsbury Dr SE,Minneapolis,Minnesota,United States of America
Theft,501 Washington Ave SE,Minneapolis,Minnesota,United States of America
Stalking,505 Washington Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,515 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,515 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,515 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,515 Delaware St SE,Minneapolis,Minnesota,United States of America
Theft,515 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,515 Delaware St SE,Minneapolis,Minnesota,United States of America
Theft,515 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,515 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,515 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,516 15th Ave SE,Minneapolis,Minnesota,United States of America
Theft,516 15th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,516 Delaware St SE,Minneapolis,Minnesota,United States of America
Theft,516 Delaware St SE,Minneapolis,Minnesota,United States of America
Assault,525 23rd Ave S,Minneapolis,Minnesota,United States of America
Assault,525 23rd Ave S,Minneapolis,Minnesota,United States of America
Assault,525 23rd Ave S,Minneapolis,Minnesota,United States of America
Theft,526 Delaware St SE,Minneapolis,Minnesota,United States of America
Theft,526 Delaware St SE,Minneapolis,Minnesota,United States of America
Overdose,551 Washington Ave SE,Minneapolis,Minnesota,United States of America
Weapons Law Violation,5th St SE / 14th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,614 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,614 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,614 Delaware St SE,Minneapolis,Minnesota,United States of America
Assault,614 Delaware St SE,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct - Rape,614 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,614 Delaware St SE,Minneapolis,Minnesota,United States of America
Fondling,614 Delaware St SE,Minneapolis,Minnesota,United States of America
Rape,614 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,615 Fulton Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,615 Fulton Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,615 Fulton St SE,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct - Rape,615 Fulton St SE,Minneapolis,Minnesota,United States of America
Theft,615 Fulton St SE,Minneapolis,Minnesota,United States of America
Bike Theft,615 Fulton St SE,Minneapolis,Minnesota,United States of America
Bike Theft,615 Fulton St SE,Minneapolis,Minnesota,United States of America
Theft,615 Fulton St SE,Minneapolis,Minnesota,United States of America
Bike Theft,615 Fulton St SE,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct - Rape,615 Fulton St SE,Minneapolis,Minnesota,United States of America
Theft from Person,615 Fulton St SE,Minneapolis,Minnesota,United States of America
Theft,615 Fulton St SE,Minneapolis,Minnesota,United States of America
Theft,615 Fulton St SE,Minneapolis,Minnesota,United States of America
Rape,615 Fulton St SE,Minneapolis,Minnesota,United States of America
Theft,615 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,615 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,615 Washington Ave SE,Minneapolis,Minnesota,United States of America
Assault,615 Washington Ave SE,Minneapolis,Minnesota,United States of America
Robbery of Person,615 Washington Ave SE,Minneapolis,Minnesota,United States of America
Assault,615 Washington Ave SE,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct - Rape,615 Washington Ave SE,Minneapolis,Minnesota,United States of America
Robbery of Person,615 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,620 Fulton St SE,Minneapolis,Minnesota,United States of America
Theft,620 Fulton St SE,Minneapolis,Minnesota,United States of America
Burglary,701 15th Ave SE,Minneapolis,Minnesota,United States of America
Burglary,701 15th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,701 15th Ave SE,Minneapolis,Minnesota,United States of America
Theft,701 15th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,701 15th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,701 15th Ave SE,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct - Rape,701 15th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,701 Fulton Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,701 Fulton St SE,Minneapolis,Minnesota,United States of America
Theft,701 Fulton St SE,Minneapolis,Minnesota,United States of America
Bike Theft,701 Fulton St SE,Minneapolis,Minnesota,United States of America
Bike Theft,701 Fulton St SE,Minneapolis,Minnesota,United States of America
Theft,701 Fulton St SE,Minneapolis,Minnesota,United States of America
Theft,717 Delaware St SE,Minneapolis,Minnesota,United States of America
Stalking,75 E River Pkwy,Minneapolis,Minnesota,United States of America
Theft,84 Church St SE,Minneapolis,Minnesota,United States of America
Theft from Person,880 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,89 Church St SE,Minneapolis,Minnesota,United States of America
Theft,89 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,89 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,9 Pleasant St SE,Minneapolis,Minnesota,United States of America
Bike Theft,9 Pleasant St SE,Minneapolis,Minnesota,United States of America
Bike Theft,9 Pleasant St SE,Minneapolis,Minnesota,United States of America
Bike Theft,9 Pleasant St SE,Minneapolis,Minnesota,United States of America
Hit and Run with Injury,909 Fulton St SE,Minneapolis,Minnesota,United States of America
Bike Theft,909 Fulton St SE,Minneapolis,Minnesota,United States of America
Assault,909 Fulton St SE,Minneapolis,Minnesota,United States of America
Assault,909 Fulton St SE,Minneapolis,Minnesota,United States of America
Theft,909 Fulton St SE,Minneapolis,Minnesota,United States of America
Stalking,321 S 19th Ave,Minneapolis,Minnesota,United States of America
Bike Theft,Church St SE & Pillsbury Dr SE,Minneapolis,Minnesota,United States of America
Bike Theft,Church St SE / Delaware St SE,Minneapolis,Minnesota,United States of America
Fondling,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,Fairview Ave N / Larpenteur Ave,Minneapolis,Minnesota,United States of America
Bike Theft,Huron Blvd SE & University Ave,Minneapolis,Minnesota,United States of America
Indecent Conduct,Pillsbury Dr SE / Pleasant St SE,Minneapolis,Minnesota,United States of America
Bike Theft,Pleasant St SE & Pillsbury Dr SE,Minneapolis,Minnesota,United States of America
Assault,Pleasant St SE / Pillsbury Dr SE,Minneapolis,Minnesota,United States of America
Theft,Pleasant St SE / Pillsbury Dr SE,Minneapolis,Minnesota,United States of America
Bike Theft,Pleasant St SE / Pillsbury Dr SE,Minneapolis,Minnesota,United States of America
Assault w/dangerous weapon,Pleasant St SE / Pillsbury Dr SE,Minneapolis,Minnesota,United States of America
Robbery of Person,Riverside Ave / 19th Ave S,Minneapolis,Minnesota,United States of America
Rape,417 Walnut St SE,Minneapolis,Minnesota,United States of America
Rape,417 Walnut St SE,Minneapolis,Minnesota,United States of America
Hit and Run,Univeristy Ave SE / Oak St SE,Minneapolis,Minnesota,United States of America
Bike Theft,University Ave SE & Pleasant St,Minneapolis,Minnesota,United States of America
Assault,Washington Ave SE & Oak St SE,Minneapolis,Minnesota,United States of America

